,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
20,Mllt3,Nfia,Gm19590,Sec61b,Sec61b,Hspd1,Ctsz,Fau,Sec61b,Sec61b,Sec61b,Fut8,Rps5,Sfpq,Sfpq,Fau,Tagln2,Sec61b,Sec61b,Tagln2,Tagln2,Rps5,Stmn1,Stmn1,Gse1,Tsc22d1,Sfpq,Stmn1,Ybx3,Sfpq,Sfpq,Rps5,Rps5,Rps5,Tagln2,Tagln2,Tagln2,Hmgb3,Hspd1,Sec61b,Sec61b,Sec61b,Sec61b,Tgfb1,Tagln2
21,2610035D17Rik,Fam213a,Myof,Tagln2,Tagln2,2700094K13Rik,Sec61b,Ctsz,Tagln2,Tagln2,Tagln2,Irf2bp2,Stmn1,Nap1l1,Nap1l1,Sec61b,Hspd1,Tagln2,Tagln2,Hspd1,Hspd1,Hmgb1,Ybx3,Ybx3,Gng11,Txnip,Nap1l1,mt-Co3,Dnaja1,Nap1l1,Nap1l1,Stmn1,Stmn1,Stmn1,Hspd1,Hspd1,Hspd1,Tgfb1,Actg1,Tagln2,Tagln2,Tagln2,Tagln2,Lta4h,Hspd1
22,Ier2,Il21r,Gimap1,Hspd1,Hspd1,Actg1,Tagln2,Sec61b,Hspd1,Hspd1,Hspd1,Tnfaip8l2,Ybx3,Rps5,Rps5,Tagln2,Actg1,Hspd1,Hspd1,2700094K13Rik,2700094K13Rik,Stmn1,Dnaja1,Dnaja1,4930519L02Rik,Art4,Rps5,Ybx3,Rpl36,Rps5,Rps5,mt-Co3,Ybx3,Ybx3,Actg1,Actg1,Actg1,Lta4h,Hmgb3,Hspd1,Hspd1,Hspd1,Hspd1,Rrbp1,Actg1
23,Nfia,Fos,Klf3,Actg1,Actg1,Hmgb3,Hspd1,Tagln2,Actg1,Actg1,Actg1,Lgals1,Dnaja1,Stmn1,Stmn1,Hspd1,Lta4h,Actg1,Actg1,Actg1,Actg1,mt-Co3,Rpl36,Rpl36,Stat4,Hbb-bt,Hmgb1,Dnaja1,Tuba1b,Stmn1,Stmn1,Ybx3,Dnaja1,Dnaja1,Tgfb1,Tgfb1,Tgfb1,Rrbp1,Tgfb1,Actg1,Actg1,Actg1,Actg1,Sfpq,Lta4h
24,Fam213a,Gm19590,Maged2,2700094K13Rik,2700094K13Rik,Tgfb1,Actg1,Hspd1,2700094K13Rik,Lta4h,Tgfb1,Blvrb,Rpl36,mt-Co3,mt-Co3,Actg1,Nap1l1,2700094K13Rik,2700094K13Rik,Tgfb1,Tgfb1,Ybx3,Tuba1b,Tuba1b,Ifitm1,Dusp2,Stmn1,Rpl36,Rps3a1,mt-Co3,mt-Co3,Dnaja1,Rpl36,Rpl36,Lta4h,Lta4h,Lta4h,Sfpq,Lta4h,Lta4h,Lta4h,Lta4h,Lta4h,Nap1l1,Nap1l1
25,Fos,Myof,Cul9,Tgfb1,Tgfb1,Lta4h,Lta4h,Actg1,Tgfb1,Nap1l1,Lta4h,Coro1a,Fabp5,Ybx3,Ybx3,Lta4h,Rps5,Tgfb1,Tgfb1,Lta4h,Lta4h,Dnaja1,Fabp5,Fabp5,Tsc22d1,Flt3,mt-Co3,Tuba1b,Ranbp1,Ybx3,Ybx3,Rpl36,Fabp5,Fabp5,Rrbp1,Rrbp1,Rrbp1,Nap1l1,Rrbp1,Nap1l1,Nap1l1,Nap1l1,Nap1l1,Rps5,Rps5
26,Gm19590,Gimap1,Glipr2,Rrbp1,Rrbp1,Rrbp1,Nap1l1,Lta4h,Lta4h,Rps5,Rrbp1,Cd53,Rps3a1,Dnaja1,Dnaja1,Nap1l1,Hmgb1,Lta4h,Lta4h,Rrbp1,Rrbp1,Rpl36,Rps3a1,Rps3a1,Txnip,Sgce,Ybx3,Rps3a1,Rpgrip1,Dnaja1,Dnaja1,Ddx5,Rps3a1,Rps3a1,Sfpq,Sfpq,Sfpq,Rps5,Sfpq,Rps5,Rps5,Rps5,Rps5,Hmgb1,Hmgb1
27,Myof,Kcnk5,Letm2,Sfpq,Sfpq,Sfpq,Rps5,Nap1l1,Rrbp1,Hmgb1,Sfpq,Igf1r,Rps27l,Rpl36,Rpl36,Rps5,Stmn1,Rrbp1,Rrbp1,Sfpq,Sfpq,Tuba1b,Rps27l,Rpgrip1,Sept1,Itm2a,Dnaja1,Ranbp1,Rps27l,Rpl36,Rpl36,Fabp5,Rps27l,Rps27l,Nap1l1,Nap1l1,Nap1l1,Hmgb1,Nap1l1,Hmgb1,Hmgb1,Hmgb1,Hmgb1,Stmn1,Stmn1
28,Gimap1,Rbp1,Gkap1,Nap1l1,Nap1l1,Nap1l1,Hmgb1,Rps5,Sfpq,Stmn1,Nap1l1,Atp1b2,Ranbp1,Ddx5,Ddx5,Hmgb1,Ybx3,Sfpq,Sfpq,Nap1l1,Nap1l1,Fabp5,Ranbp1,Rps27l,Art4,Hhex,Rpl36,Rpgrip1,Rpl41,Ddx5,Ddx5,Rps3a1,Ranbp1,Ranbp1,Rps5,Rps5,Rps5,Stmn1,Rps5,Stmn1,Stmn1,Stmn1,Stmn1,mt-Co3,Ybx3
29,Kcnk5,Maged2,Npdc1,Rps5,Rps5,Rps5,Stmn1,Hmgb1,Nap1l1,Ybx3,Rps5,Ikzf2,Rpl41,Fabp5,Fabp5,Stmn1,Dnaja1,Nap1l1,Nap1l1,Rps5,Rps5,Rps3a1,Rpl41,Ranbp1,Hbb-bt,Tnfrsf18,Tuba1b,Rps27l,Actb,Fabp5,Fabp5,Rps27l,Rpl41,Rpl41,Hmgb1,Hmgb1,Hmgb1,mt-Co3,Hmgb1,Ybx3,Ybx3,Ybx3,Ybx3,Ybx3,Dnaja1
30,Rbp1,Cul9,Lst1,Hmgb1,Hmgb1,Hmgb1,Ybx3,Stmn1,Rps5,Dnaja1,Hmgb1,Hdc,Mif,Rps3a1,Rps3a1,Ybx3,Rpl36,Rps5,Rps5,Hmgb1,Hmgb1,Rpgrip1,Actb,Actb,Dusp2,Apobr,Fabp5,Rpl41,Mif,Rps3a1,Rps3a1,Ranbp1,Mif,Mif,Stmn1,Stmn1,Stmn1,Ybx3,Stmn1,Dnaja1,Dnaja1,Dnaja1,Dnaja1,Dnaja1,Rpl36
31,Maged2,Glipr2,Klhl24,Stmn1,Stmn1,Bnip3l,Dnaja1,Ybx3,Hmgb1,Rpl36,Stmn1,Siglecf,Fam49b,Rps27l,Rps27l,Dnaja1,Fabp5,Hmgb1,Hmgb1,Stmn1,Stmn1,Rps27l,Mif,Mif,Zfpm1,Nefh,Rps3a1,Actb,Ldha,Rps27l,Rps27l,Rpl41,Fam49b,Fam49b,mt-Co3,mt-Co3,mt-Co3,Dnaja1,mt-Co3,Rpl36,Rpl36,Rpl36,Rpl36,Rpl36,Fabp5
32,Cul9,Letm2,1500009L16Rik,mt-Co3,mt-Co3,mt-Co3,Rpl36,Dnaja1,Stmn1,Fabp5,mt-Co3,Csrp3,Shfm1,Hp1bp3,Hp1bp3,Rpl36,Rps3a1,Stmn1,Stmn1,mt-Co3,mt-Co3,Ranbp1,Ldha,Rpl41,Flt3,Prmt2,Rps27l,Mif,Rplp0,Ranbp1,Ranbp1,Mif,Shfm1,Shfm1,Ybx3,Ybx3,Ybx3,Rpl36,Ybx3,Fabp5,Fabp5,Fabp5,Fabp5,Ddx5,Rps3a1
33,Glipr2,Gkap1,Nfkbiz,Ybx3,Ybx3,Ybx3,Tuba1b,Rpl36,mt-Co3,Rps3a1,Ybx3,Clec4e,Ldha,Ranbp1,Ranbp1,Tuba1b,Rps27l,mt-Co3,mt-Co3,Ybx3,Ybx3,Actb,Rplp0,Ldha,Tespa1,Chd3,Ranbp1,mt-Atp6,Cacybp,Rpl41,Rpl41,mt-Atp6,Ldha,Ldha,Dnaja1,Dnaja1,Dnaja1,Ddx5,Dnaja1,Rps3a1,Rps3a1,Rps3a1,Rps3a1,Fabp5,Rps27l
34,Letm2,Npdc1,Jund,Dnaja1,Dnaja1,Stmn1,Fabp5,Tuba1b,Ybx3,Rps27l,Dnaja1,Zg16,Rplp0,Rpl41,Rpl41,Fabp5,Ranbp1,Ybx3,Ybx3,Dnaja1,Dnaja1,Mif,Cacybp,Rplp0,Sgce,Ctsf,Rpl41,Ldha,Hsp90ab1,Mif,Mif,Fam49b,Rplp0,Rplp0,Rpl36,Rpl36,Rpl36,Fabp5,Rpl36,Rpgrip1,Rps27l,Rpgrip1,Rps27l,Rps3a1,Ranbp1
35,Gkap1,Lst1,Cish,Rpl36,Rpl36,Dnaja1,Rps3a1,Fabp5,Dnaja1,Ranbp1,Rpl36,Ass1,Cacybp,Mif,Mif,Rps3a1,Rpl41,Dnaja1,Dnaja1,Rpl36,Rpl36,mt-Atp6,Hsp90ab1,Cacybp,Ddah2,Herc3,Actb,Rplp0,Pcna,mt-Atp6,mt-Atp6,Shfm1,Cacybp,Cacybp,Ddx5,Ddx5,Ddx5,Rps3a1,Ddx5,Rps27l,Ranbp1,Rps27l,Ranbp1,Rps27l,Rpl41
36,Npdc1,Cldn15,Neurl3,Ddx5,Ddx5,Rpl36,Rps27l,Rps3a1,Rpl36,Rpl41,Ddx5,Pitpnc1,Cox7b,mt-Atp6,mt-Atp6,Rps27l,Actb,Rpl36,Rpl36,Ddx5,Ddx5,Rpl41,Pcna,Hsp90ab1,Itm2a,Impact,Mif,Cacybp,Nhp2l1,Fam49b,Fam49b,Ldha,Cox7b,Cox7b,Fabp5,Fabp5,Fabp5,Rpgrip1,Fabp5,Ranbp1,Rpl41,Ranbp1,Rpl41,Ranbp1,Actb
