,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
84,Hivep3,Mpl,Lppos,Ddx39,Rpl32,Atpif1,Rpl37,Syce2,Ddx39,Cd81,Ftl1,Padi2,Eif2s2,Ppp1r14b,Ppp1r14b,Cmtm7,Cd81,Pdia6,Pdia6,Ddx39,Ddx39,Smc1a,Hsp90aa1,Ubb,Gcnt2,Aldh1l1,Eif4a1,Ran,Rpl22l1,Nhp2,Sh3bgrl3,Ndufa4,Ncl,Rbm3,Ftl1,Ddx39,mt-Co2,Rplp1,Mrpl33,Clic1,Cd81,Clic1,Clic1,Rpl10,Hspe1
85,1700040L02Rik,Maml2,Crebrf,mt-Co2,Ddx39,Rps14,Rpl10,Rpl10,mt-Co2,Erh,Rpl23a,Ffar2,Ncl,Sh3bgrl3,Sh3bgrl3,Syce2,Erh,Rpl32,Rpl32,Ftl1,Ftl1,Hint1,Erdr1,Phgdh,Pard3b,G430095P16Rik,Anp32e,Rps12,Rpl21,Fus,Nhp2,Eif4a1,Ran,Rpl18a,Rpl23a,Ftl1,Rps20,Tpt1,Nedd4,Hspe1,Erh,Hspe1,Hspe1,Rpl37,Hnrnpab
86,Ifitm1,Gm11837,Fam73a,Rpl23a,mt-Co2,Pdia6,Cd81,Rpl37,Rpl23a,Clic1,mt-Co2,S100a10,Ran,Nhp2,Nhp2,Rpl37,Clic1,Ddx39,Ddx39,Rpl23a,Rpl23a,Ncl,Ubb,Rpl22l1,Ctxn1,Gprc5b,Rps7,Prdx1,Nolc1,Ptpn18,Fus,Rps7,Prdx1,Hsp90aa1,mt-Co2,Rpl23a,Mrpl33,Syce2,Rplp1,Hnrnpab,Clic1,Hnrnpab,Hnrnpab,mt-Nd5,Rpl12
87,Tsc22d1,Ctnnal1,A630072M18Rik,Ftl1,Rpl23a,Rpl32,Erh,Cd81,Ftl1,Hspe1,Rps20,Il17ra,Prdx1,Fus,Fus,Rpl10,Hspe1,mt-Co2,mt-Co2,mt-Co2,mt-Co2,Ran,Phgdh,Rpl21,Tnik,Dusp1,Smc1a,Rbm3,Uqcrq,mt-Nd2,Ptpn18,Smc1a,Rbm3,Erdr1,Rps20,mt-Co2,Rplp1,Rpl10,Tpt1,Rpl12,Hspe1,Rpl12,Rpl12,Cd81,Rps26
88,Rab6b,Dennd1c,Itsn1,Rps20,Ftl1,Ddx39,Clic1,Erh,Rps20,Hnrnpab,Mrpl33,Ly6e,Rbm3,Ptpn18,Ptpn18,Cd81,Hnrnpab,Rpl23a,Rpl23a,Rps20,Rps20,Rps12,Rpl22l1,Nolc1,Ier3,Rab6b,Hint1,Rpl18a,Slc25a5,Rpl13,mt-Nd2,Hint1,Rpl18a,Ubb,Mrpl33,Rps20,Tpt1,Rpl37,Syce2,Rps26,Hnrnpab,Rps26,Rps26,Erh,Cox6a1
89,Txnip,Msmo1,Agpat4,Mrpl33,Rps20,mt-Co2,Hspe1,Clic1,Mrpl33,Rpl12,Rplp1,Sapcd1,Rpl18a,mt-Nd2,mt-Nd2,Erh,Rpl12,Ftl1,Ftl1,Mrpl33,Mrpl33,Prdx1,Rpl21,Uqcrq,Slc45a3,Zfp608,Eif2s2,Hsp90aa1,Rexo2,Rpsa,Rpl13,Ncl,Glrx5,Phgdh,Rplp1,Mrpl33,Syce2,mt-Nd5,Rpl10,Cox6a1,Rpl12,Cox6a1,Cox6a1,mt-Co1,Ppp1r14b
90,Mpl,Art4,Cyp2j6,Rplp1,Mrpl33,Rpl23a,Hnrnpab,Hspe1,Rplp1,Rps26,Tpt1,Gm20342,Glrx5,Rpl13,Rpl13,Clic1,Rps26,Rps20,Rps20,Rplp1,Rplp1,Rbm3,Nolc1,Slc25a5,Hoxb4,Mpl,Ncl,Phgdh,H3f3b,Ndufa4,Rpsa,Ran,Gatm,Rpl22l1,Tpt1,Rplp1,Rpl10,Cd81,Rpl37,Ppp1r14b,Rps26,Ppp1r14b,Ppp1r14b,Hspe1,Itm2b
91,Maml2,Sesn3,1810011H11Rik,Tpt1,Rplp1,Rps20,Rpl12,Hnrnpab,Gm26917,Cox6a1,Malat1,Emid1,Hsp90aa1,Rpsa,Rpsa,Hspe1,Cox6a1,Mrpl33,Mrpl33,Tpt1,Tpt1,Rpl18a,Uqcrq,Rexo2,Erg,Btg2,Ran,Rpl22l1,Phb2,Eif4a1,Ndufa4,Rps12,Hsp90aa1,Rpl21,Malat1,Tpt1,Rpl37,Erh,mt-Nd5,Itm2b,Cox6a1,Itm2b,Itm2b,Hnrnpab,Nhp2
92,Gm11837,Maged1,Ppp2r3a,Malat1,Tpt1,Mrpl33,Rps26,Rpl12,Tpt1,Ppp1r14b,Syce2,Lpin2,Erdr1,Ndufa4,Ndufa4,Hnrnpab,Ppp1r14b,Rplp1,Rplp1,Malat1,Malat1,Hsp90aa1,Slc25a5,H3f3b,Fam69b,Trove2,Rps12,Rpl21,Rps4x,Rps7,Eif4a1,Prdx1,Erdr1,Atp5o,Syce2,Malat1,mt-Nd5,mt-Co1,Cd81,Nhp2,Ppp1r14b,Nhp2,Nhp2,Rpl12,Gapdh
93,Ctnnal1,Trove2,Tceal1,Syce2,Malat1,Nedd4,Cox6a1,Rps26,Syce2,Itm2b,Rpl10,Ltb4r1,Ubb,Eif4a1,Eif4a1,Rpl12,Itm2b,Tpt1,Tpt1,Syce2,Syce2,Erdr1,Rexo2,Phb2,Gm16140,Ctla2b,Prdx1,Nolc1,Emp3,Smc1a,Rps7,Rbm3,Ubb,Nolc1,Rpl10,Syce2,Cd81,Hspe1,Erh,Gapdh,Itm2b,Gapdh,Gapdh,Rps26,Fus
94,Dennd1c,Ctla2b,Gabbr1,Rpl37,Syce2,Rplp1,Ppp1r14b,Cox6a1,Rpl37,Sh3bgrl3,Rpl37,Necap2,Phgdh,Rps7,Rps7,Rps26,Sh3bgrl3,Malat1,Malat1,Rpl10,Rpl10,Phgdh,H3f3b,Rps4x,Cyp2j6,Crebrf,Rbm3,Uqcrq,Ninj1,Hint1,Smc1a,Rpl18a,Phgdh,Uqcrq,Rpl37,Rpl10,Erh,Hnrnpab,mt-Co1,Fus,Sh3bgrl3,Fus,Fus,Ppp1r14b,Manf
95,Msmo1,Lppos,Cnrip1,Rpl10,Rpl37,Tpt1,Itm2b,Ppp1r14b,Rpl10,Nhp2,mt-Nd5,P2rx4,Rpl22l1,Smc1a,Smc1a,Cox6a1,Nhp2,Syce2,Syce2,Rpl37,Rpl37,Rpl22l1,Phb2,Emp3,Grasp,Smad7,Rpl18a,Slc25a5,Cbx3,Eif2s2,Hint1,Hsp90aa1,Rpl22l1,Slc25a5,mt-Nd5,Rpl37,Clic1,Rpl12,Tln1,Manf,Nhp2,Manf,Manf,Nhp2,Rpl13
96,Art4,Ldhb,Pik3r1,mt-Nd5,Rpl10,Syce2,Gapdh,Itm2b,Lmo2,Gapdh,Cd81,Ppp1r10,Rpl21,Hint1,Hint1,Ppp1r14b,Gapdh,Rpl37,Rpl37,mt-Nd5,mt-Nd5,Rpl21,Rps4x,Cbx3,Plp2,Cnrip1,Glrx5,Rexo2,Ptma,Ncl,Eif2s2,Erdr1,Rpl21,Rexo2,Cd81,mt-Nd5,mt-Co1,Rps26,Hnrnpab,Rpl13,Gapdh,Rpl13,Rpl13,Gapdh,Rpsa
97,Sesn3,Hbb-bt,Myo1c,Erh,mt-Nd5,Rpl37,Nhp2,Nhp2,mt-Nd5,Fus,Erh,Gadd45a,Atp5o,Eif2s2,Eif2s2,Itm2b,Fus,Rpl10,Rpl10,Cd81,Cd81,Nolc1,Mospd3,Ptma,Galnt6,Myo1c,Hsp90aa1,Phb2,Hspa8,Ran,Ncl,Phgdh,Atp5o,Phb2,Erh,Cd81,Tln1,Ppp1r14b,Rpl12,Rpsa,Fus,Rpsa,Rpsa,Fus,Acadl
98,Maged1,Hmgn3,F11r,Clic1,Erh,Rpl10,Fus,Gapdh,Cd81,Manf,Clic1,Drosha,Nolc1,Ncl,Ncl,Sh3bgrl3,Manf,mt-Nd5,mt-Nd5,Erh,Erh,Uqcrq,Emp3,H2-K1,Vamp5,Il18,Erdr1,Rps4x,Zfp706,Rps12,Ran,Rpl22l1,Nolc1,Rps4x,Clic1,Erh,Hnrnpab,Nhp2,Rps26,Acadl,Manf,Ndufa4,Ndufa4,Manf,Ndufa4
99,Trove2,Dusp2,Adck3,mt-Co1,Clic1,Lmo2,Manf,Fus,Erh,Ptpn18,mt-Co1,Gng12,Uqcrq,Ran,Ran,Gapdh,Ptpn18,Cd81,Cd81,Clic1,Clic1,Slc25a5,Cbx3,Hspa8,Krt18,Bicd1,Ubb,Emp3,Set,Prdx1,Rps12,Rpl21,Uqcrq,Emp3,mt-Co1,Clic1,Rpl12,Gapdh,Hspe1,Ndufa4,Ptpn18,Eif4a1,Eif4a1,mt-Nd2,Eif4a1
100,Ctla2b,Crebrf,Eid2,Tln1,mt-Co1,mt-Nd5,Rpl13,Manf,Clic1,Rpl13,Hspe1,Zcchc6,Slc25a5,Rps12,Rps12,Nhp2,Rpl13,Erh,Erh,mt-Co1,mt-Co1,Rexo2,Ptma,Zfp706,Gata3,Socs2,Phgdh,Cbx3,Pa2g4,Rbm3,Prdx1,Atp5o,Slc25a5,Cbx3,Tln1,mt-Co1,Rps26,Fus,Ppp1r14b,Eif4a1,Rpl13,Rps7,Rps7,Rpl13,Rps7
101,Lppos,A630072M18Rik,Tsc22d3,Hnrnpab,Tln1,Cd81,Rpsa,Rpl13,mt-Co1,Rpsa,Hnrnpab,Gnb4,Rexo2,Prdx1,Prdx1,Fus,Rpsa,Clic1,Clic1,Hspe1,Hspe1,Phb2,H2-K1,Set,Adgrl2,Cd74,Rpl22l1,Rps25,Dnmt1,Rpl18a,Rbm3,Nolc1,Rexo2,Ptma,Hnrnpab,Tln1,Hspe1,Manf,Nhp2,Rps7,Rpsa,Smc1a,Mrpl52,Lmnb1,Smc1a
102,Ldhb,Itsn1,Socs2,Hspe1,Hnrnpab,Erh,Ndufa4,Rpsa,Tln1,Acadl,Rpl12,Tacstd2,Phb2,Rbm3,Rbm3,Manf,Acadl,mt-Co1,mt-Co1,Hnrnpab,Hnrnpab,Rps4x,Hspa8,Pa2g4,Cd59a,Ltc4s,Rpl21,Ptma,Rps2,Glrx5,Rpl18a,Uqcrq,Phb2,H2-K1,Rpl12,Hnrnpab,Cox6a1,mt-Nd2,Gapdh,Smc1a,Acadl,Hint1,Smc1a,Rpsa,Hint1
103,Hbb-bt,Rhob,Nap1l3,Rps26,Hspe1,mt-Co1,Eif4a1,Ndufa4,Hnrnpab,Ndufa4,Rps26,Stx3,Rps4x,Rpl18a,Rpl18a,Ptpn18,Ndufa4,Tln1,Tln1,Rpl12,Rpl12,Emp3,Zfp706,Dnmt1,Gimap1,Wfdc17,Nolc1,Hspa8,Slbp,Gatm,Glrx5,Slc25a5,Rps4x,Hspa8,Rps26,Rpl12,Ppp1r14b,Rpl13,Fus,Hint1,Ndufa4,Eif2s2,Hint1,Acadl,Eif2s2
104,Hmgn3,Agpat4,Itm2a,Rpl12,Rps26,Tln1,Rps7,Eif4a1,Hspe1,Eif4a1,Cox6a1,Rassf4,Emp3,Glrx5,Glrx5,Rpl13,Eif4a1,Hnrnpab,Hnrnpab,Rps26,Rps26,Cbx3,Set,Rps2,Kcnk5,Ccl3,Uqcrq,Zfp706,Rps8,Hsp90aa1,Gatm,Rexo2,Emp3,Zfp706,Hspe1,Rps26,Itm2b,Lmnb1,Manf,Eif2s2,Eif4a1,Ncl,Eif2s2,Ndufa4,Ncl
105,Dusp2,Ipo11,Fam101b,Cox6a1,Rpl12,Hnrnpab,Mrpl52,Rps7,Rps26,Rps7,Ppp1r14b,Auts2,Cbx3,Hsp90aa1,Hsp90aa1,Rpsa,Rps7,Hspe1,Hspe1,Cox6a1,Cox6a1,Rps25,Pa2g4,Slbp,Fut8,Hdgfrp3,Slc25a5,Set,Hnrnpd,Gmfg,Hsp90aa1,Phb2,Cbx3,Set,Cox6a1,Hspe1,Nhp2,Rpsa,mt-Nd2,Ncl,Rps7,Ran,Ncl,Anp32e,Ran
106,Crebrf,Cyp2j6,Cd74,Ppp1r14b,Cox6a1,Zfpm1,Smc1a,Smc1a,Rpl12,Smc1a,Itm2b,Itgb7,Ptma,Gmfg,Erdr1,Acadl,Smc1a,Rps26,Rps26,Ppp1r14b,Ppp1r14b,Ptma,Dnmt1,Rps8,P2ry14,Ahdc1,Rexo2,Pa2g4,Rpl9,Erdr1,Erdr1,Rps4x,Ptma,Pa2g4,Ppp1r14b,Cox6a1,Gapdh,Acadl,Rpl13,Ran,Mrpl52,Prdx1,Ran,Eif4a1,Prdx1
107,Id1,1810011H11Rik,Nrxn1,Itm2b,Ppp1r14b,Rps26,Hint1,Hint1,Cox6a1,Hint1,Sh3bgrl3,Gm15915,H2-K1,Erdr1,Ubb,Ndufa4,Hint1,Rpl12,Rpl12,Itm2b,Itm2b,Hspa8,Rps2,Hnrnpd,Cish,Mkl2,H3f3b,Dnmt1,Alyref,Ubb,Ubb,Emp3,H2-K1,Dnmt1,Itm2b,Ppp1r14b,Fus,Ndufa4,Lmnb1,Prdx1,Smc1a,Rbm3,Prdx1,Rps7,Rbm3
108,Klf6,Ppp2r3a,Pglyrp2,Cdk6,Itm2b,Hspe1,Eif2s2,Eif2s2,Ppp1r14b,Eif2s2,Nhp2,Ms4a2,Hspa8,Ubb,Phgdh,Eif4a1,Eif2s2,Cox6a1,Cox6a1,Sh3bgrl3,Sh3bgrl3,Zfp706,Slbp,Rpl9,H2-T23,Hist1h2bc,Phb2,mt-Cytb,Eif1,Phgdh,Phgdh,Cbx3,Hspa8,Rps2,Sh3bgrl3,Itm2b,Manf,Anp32e,Rpsa,Rbm3,Hint1,Rpl18a,Rbm3,Smc1a,Rpl18a
109,A630072M18Rik,Tceal1,Selp,Sh3bgrl3,Cdk6,Rpl12,Ncl,Ncl,Itm2b,Ncl,Gapdh,Anxa2,Zfp706,Phgdh,Rpl22l1,Rps7,Ncl,Ppp1r14b,Ppp1r14b,Nhp2,Nhp2,Set,Rps8,Alyref,G430095P16Rik,Hlf,Rps4x,Rps2,Atad2,Rpl22l1,Rpl22l1,Rps25,Zfp706,Slbp,Nhp2,Sh3bgrl3,mt-Nd2,Eif4a1,Ndufa4,Rpl18a,Eif2s2,Hsp90aa1,Rpl18a,Hint1,Hsp90aa1
110,Itsn1,Gabbr1,Egr1,Gapdh,Sh3bgrl3,Ppp1r14b,Ran,Ran,Gapdh,Ran,Fus,Ap3s1,Set,Rpl22l1,Rpl21,Mrpl52,Ran,Itm2b,Itm2b,Gapdh,Gapdh,Pa2g4,Hnrnpd,Eif1,Arhgap6,Mast4,Emp3,Slbp,Rpl10a,Rpl21,Rpl21,Ptma,Set,Rps8,Gapdh,Nhp2,Rpl13,Rps7,Eif4a1,Hsp90aa1,Ncl,Pdia3,Glrx5,Ncl,Pdia3
111,Rhob,Cnrip1,Zfhx3,Nhp2,Gapdh,Gapdh,Prdx1,Prdx1,Nhp2,Prdx1,Manf,Tnfaip2,Pa2g4,Rpl21,Atp5o,Smc1a,Prdx1,Sh3bgrl3,Sh3bgrl3,Fus,Fus,Dnmt1,Rpl9,Atad2,Gprc5b,Smim6,Cbx3,Rps8,Gnai2,Atp5o,Atp5o,Hspa8,Pa2g4,Hnrnpd,Fus,Gapdh,Lmnb1,Smc1a,Anp32e,Pdia3,Ran,Erdr1,Gatm,Ran,Erdr1
112,Agpat4,Tmx4,Prmt2,Fus,Nhp2,Nhp2,Rbm3,Rbm3,Fus,Rbm3,Ptpn18,Sell,Dnmt1,Atp5o,Nolc1,Hint1,Rbm3,Gapdh,Gapdh,Manf,Manf,mt-Cytb,Alyref,Rpl10a,Fam189b,Otos,Rps25,Hnrnpd,Eef2,Nolc1,Nolc1,Zfp706,Dnmt1,Rpl9,Manf,Fus,Rpsa,Hint1,Rps7,Erdr1,Prdx1,Ubb,Hsp90aa1,Rps12,Ubb
113,Ipo11,Pik3r1,Hdgfrp3,Manf,Fus,Fus,Rpl18a,Rpl18a,Manf,Rpl18a,mt-Nd2,Abcb4,Rps2,Nolc1,Uqcrq,Eif2s2,Rpl18a,Nhp2,Nhp2,Ptpn18,Ptpn18,Rps2,Eif1,Gnai2,Rab6b,Hoxa10,Ptma,Rpl9,Ifitm2,Uqcrq,Uqcrq,Set,Rps2,Clspn,Ptpn18,Manf,Ndufa4,Ncl,Smc1a,Ubb,Rbm3,Phgdh,Pdia3,Prdx1,Phgdh
114,Cyp2j6,F11r,Ahdc1,Ptpn18,Manf,Manf,Glrx5,Hsp90aa1,mt-Nd2,Glrx5,Rpl13,Adssl1,Fam96a,Uqcrq,Slc25a5,Ncl,Glrx5,Fus,Fus,mt-Nd2,mt-Nd2,Slbp,Rpl10a,Eef2,Zfp608,Pcdh7,H2-K1,Alyref,Serbp1,Slc25a5,Slc25a5,Gatad1,Fam96a,Alyref,mt-Nd2,Ptpn18,Eif4a1,Ran,Hint1,Phgdh,Rpl18a,Rpl22l1,Erdr1,Rbm3,Rpl22l1
115,1810011H11Rik,Adck3,Zfp36,mt-Nd2,Ptpn18,Egfl7,Gatm,Pdia3,Rpl13,Gatm,Lmnb1,Hdac7,Slbp,Slc25a5,Rexo2,Ran,Gatm,Manf,Manf,Rpl13,Rpl13,Rps8,Gnai2,Ifitm2,Trove2,Bbc3,Hspa8,Rbm39,Parp1,Rexo2,Rexo2,Pa2g4,Slbp,Eif1,Rpl13,mt-Nd2,Anp32e,Rps12,Ncl,Rpl22l1,Glrx5,Rpl21,Ubb,Rpl18a,Rpl21
116,Ppp2r3a,Sgce,Stxbp4,Rpl13,mt-Nd2,mt-Nd2,Hsp90aa1,Erdr1,Lmnb1,Hsp90aa1,Rpsa,Casp3,Rps8,Rexo2,Phb2,Prdx1,Hsp90aa1,Ptpn18,Ptpn18,Lmnb1,Lmnb1,Hnrnpd,Eef2,Serbp1,Ctla2b,Endov,Zfp706,Eif1,Psme1,Phb2,Phb2,Dnmt1,Rps8,Atad2,Lmnb1,Rpl13,Rps7,Prdx1,Nefh,Rpl21,Hsp90aa1,Lamp1,Phgdh,Hsp90aa1,Atp5o
117,Tceal1,Bicd1,Mkl2,Rpsa,Rpl13,Rpl13,Erdr1,Ubb,Cks1b,Pdia3,Acadl,Asph,Hnrnpd,Phb2,Rps4x,Rbm3,Pdia3,mt-Nd2,mt-Nd2,Rpsa,Rpsa,Rpl9,Ifitm2,Parp1,Fam129a,Spns2,Set,Atad2,Nasp,Rps4x,Rps4x,mt-Cytb,Hnrnpd,Rpl10a,Rpsa,Lmnb1,Smc1a,Rbm3,Rps12,Atp5o,Pdia3,Atp5o,Rpl22l1,Pdia3,Ddost
118,Gabbr1,Eid2,Zfp467,Acadl,Rpsa,Lmnb1,Pdia3,Phgdh,Rpsa,Erdr1,Ndufa4,Igfbp4,Rpl9,Rps4x,Emp3,Rpl18a,Erdr1,Rpl13,Rpl13,Acadl,Acadl,Alyref,Serbp1,Psme1,Crebrf,Sepp1,Pa2g4,Dek,Psip1,Emp3,Emp3,Rps2,Rpl9,Eef2,Acadl,Rpsa,Hint1,Rpl18a,Prdx1,Ddost,Erdr1,Ddost,Rpl21,Erdr1,Tmed2
119,Cnrip1,Tsc22d3,Amn1,Ndufa4,Acadl,Rpsa,Ubb,Rpl22l1,Ndufa4,Ubb,Anp32e,Csf2rb,Alyref,Emp3,Cbx3,Glrx5,Ubb,Lmnb1,Lmnb1,Ndufa4,Ndufa4,Rbm39,Parp1,Arpc1a,Fam65a,Zc3h6,Dnmt1,Rpl10a,Rfc2,Cbx3,Cbx3,Slbp,Alyref,Ifitm2,Ndufa4,Acadl,Eif2s2,Hsp90aa1,Ran,Tmed2,Ubb,Tmed2,Baz1a,Phgdh,Erp29
120,Pik3r1,Socs2,Gns,Eif4a1,Ndufa4,Ndufa4,Phgdh,Rpl21,Eif4a1,Phgdh,Eif4a1,Ces2g,Eif1,Cbx3,Rps25,Tmsb4x,Phgdh,Rpsa,Rpsa,Anp32e,Anp32e,Eif1,Psme1,Nasp,1700097N02Rik,Insig1,mt-Cytb,Gnai2,Rpl30,Rps25,Rps25,Rps8,Eif1,Serbp1,Eif4a1,Ndufa4,Ncl,Pdia3,Rbm3,Erp29,Cirbp,Erp29,Lamp1,Rpl22l1,Nolc1
121,F11r,Nap1l3,Ctsf,Rps7,Eif4a1,Eif4a1,Rpl22l1,Lamp1,Anp32e,Rpl22l1,Rps7,Rnase6,Rpl10a,Rps25,Ptma,Hsp90aa1,Rpl22l1,Acadl,Acadl,Eif4a1,Eif4a1,Atad2,Arpc1a,Psip1,Cpa3,Gm5914,Rps2,Eef2,Calm2,Ptma,Ptma,Hnrnpd,Rpl10a,Psme1,Anp32e,Eif4a1,Ran,Erdr1,Rpl18a,Nolc1,Phgdh,Nolc1,Atp5o,Rpl21,Uqcrq
122,Adck3,Itm2a,Klf7,Smc1a,Rps7,Anp32e,Rpl21,Atp5o,Rps7,Rpl21,Smc1a,Atp13a3,Eef2,Ptma,H2-K1,Pdia3,Rpl21,Ndufa4,Ndufa4,Rps7,Rps7,Dek,Nasp,Rfc2,Kctd1,Socs1,Slbp,Serbp1,Rpl14,H2-K1,H2-K1,Rpl9,Eef2,Nasp,Rps7,Anp32e,Rps12,Phgdh,Hsp90aa1,Uqcrq,Rpl22l1,Uqcrq,Ddost,Atp5o,Slc25a5
123,Sgce,Fam101b,Ptms,Hint1,Smc1a,Rps7,Baz1a,Ddost,Smc1a,Baz1a,Hint1,Rhoh,Ifitm2,H2-K1,Hspa8,Erdr1,Baz1a,Anp32e,Anp32e,Smc1a,Smc1a,Rpl10a,Psip1,Rpl30,Smad7,Calcrl,Rps8,Parp1,Psmb10,Hspa8,Hspa8,Clspn,Ifitm2,Psip1,Smc1a,Rps7,Prdx1,Rpl22l1,Pdia3,Slc25a5,Rpl21,Slc25a5,Tmed2,Ddost,Rexo2
124,Bicd1,Cd74,Fosb,Eif2s2,Hint1,Smc1a,Lamp1,Tmed2,Hint1,Atp5o,Eif2s2,Rgs2,Serbp1,Hspa8,Zfp706,Ubb,Atp5o,Eif4a1,Eif4a1,Hint1,Hint1,Gnai2,Rfc2,Rpl14,Cnrip1,Pdzk1ip1,Hnrnpd,Psme1,Srm,Zfp706,Zfp706,Alyref,Serbp1,Rfc2,Hint1,Smc1a,Rbm3,Rpl21,Erdr1,Rexo2,Atp5o,Rexo2,Erp29,Tmed2,H3f3b
125,Eid2,Nrxn1,Snap47,Ncl,Eif2s2,Hint1,Atp5o,Erp29,Eif2s2,Ddost,Ncl,Cd48,Psme1,Zfp706,Set,Cirbp,Ddost,Rps7,Rps7,Eif2s2,Eif2s2,Eef2,Rpl30,Psmb10,Med12l,Tcf15,Rpl9,mt-Nd1,Cycs,Set,Set,Rbm39,Psme1,Rpl30,Eif2s2,Hint1,Rpl18a,Atp5o,Phgdh,H3f3b,Ddost,H3f3b,Nolc1,Nolc1,Phb2
126,Tsc22d3,Pglyrp2,Ccdc112,Ran,Ncl,Msrb1,Ddost,Nolc1,Ncl,Tmed2,Ran,Ermap,Nasp,Set,Pa2g4,Rpl22l1,Tmed2,Smc1a,Smc1a,Ncl,Ncl,Serbp1,Rpl14,Srm,Myo1c,Wbscr27,Alyref,Nasp,Rpl17,Pa2g4,Gatad1,Eif1,Nasp,Rpl14,Ncl,Eif2s2,Glrx5,Ddost,Rpl22l1,Phb2,Tmed2,Phb2,Uqcrq,Uqcrq,Rps4x
127,Socs2,Selp,Hist1h2bc,Rps12,Ran,Ncl,Tmed2,Pnp,Ran,Erp29,Rps12,H2-DMa,Psip1,Pa2g4,Dnmt1,Phgdh,Erp29,Hint1,Hint1,Ran,Ran,Parp1,Psmb10,Cycs,Il18,Exoc6b,Rbm39,Psip1,Cd47,Dnmt1,Pa2g4,Atad2,Psip1,Srm,Ran,Ncl,Gatm,Tmed2,Rpl21,Rps4x,Erp29,Rps4x,Slc25a5,Slc25a5,Serf2
128,Nap1l3,Egr1,Gstm1,Prdx1,Rps12,Nefh,Erp29,Uqcrq,Rps12,Nolc1,Prdx1,Ctsg,Psmb8,Dnmt1,mt-Cytb,Rpl21,Nolc1,Eif2s2,Eif2s2,Rps12,Rps12,Psme1,Srm,Rpl17,Bicd1,Gm26735,Eif1,Rfc2,Rpl24,mt-Cytb,Dnmt1,Dek,Psmb8,Dynll1,Rps12,Ran,Hsp90aa1,Nolc1,Lamp1,Serf2,Nolc1,Serf2,Rexo2,Rexo2,Sec11c
129,Itm2a,Zfhx3,Irf1,Rbm3,Prdx1,Rps12,Nolc1,Slc25a5,Prdx1,Uqcrq,Rbm3,Car1,Rfc2,mt-Cytb,Rps2,Atp5o,Uqcrq,Ncl,Ncl,Prdx1,Prdx1,mt-Nd1,Cycs,Cd47,Cd74,Atp2b4,Dek,Rpl30,Pfn1,Rps2,mt-Cytb,Rpl10a,Rfc2,Cycs,Prdx1,Rps12,Pdia3,Uqcrq,Atp5o,Sec11c,Uqcrq,Sec11c,H3f3b,Phb2,Tk1
130,Fam101b,Fnbp1l,Impact,Rpl18a,Rbm3,Ran,Uqcrq,Rexo2,Rbm3,Slc25a5,Rpl18a,1700020L24Rik,Rpl30,Rps2,Fam96a,Ddost,Slc25a5,Ran,Ran,Rbm3,Rbm3,Arpc1a,Rpl17,Rpl24,Ltc4s,Ttc39b,Rpl10a,Rpl14,Srsf7,Fam96a,Rps2,Eef2,Rpl30,Rpl17,Rbm3,Prdx1,Erdr1,Slc25a5,Ddost,Emp3,Slc25a5,Emp3,Alad,Rps4x,Emp3
